date, rr, since_start, window, lap
2017-06-23 17:13:55 +0000, 951.000000, 76852.000000, 9, 0 
2017-06-23 17:13:56 +0000, 857.000000, 77709.000000, 9, 0 
2017-06-23 17:13:57 +0000, 762.000000, 78471.000000, 9, 0 
2017-06-23 17:13:58 +0000, 723.000000, 79194.000000, 9, 0 
2017-06-23 17:13:58 +0000, 739.000000, 79933.000000, 9, 0 
2017-06-23 17:13:59 +0000, 856.000000, 80789.000000, 9, 0 
2017-06-23 17:14:00 +0000, 879.000000, 81668.000000, 9, 0 
2017-06-23 17:14:01 +0000, 916.000000, 82584.000000, 9, 0 
2017-06-23 17:14:02 +0000, 962.000000, 83546.000000, 9, 0 
2017-06-23 17:14:03 +0000, 959.000000, 84505.000000, 9, 0 
2017-06-23 17:14:04 +0000, 962.000000, 85467.000000, 9, 0 
2017-06-23 17:14:05 +0000, 965.000000, 86432.000000, 10, 0 
2017-06-23 17:14:06 +0000, 932.000000, 87364.000000, 10, 0 
2017-06-23 17:14:07 +0000, 884.000000, 88248.000000, 10, 0 
2017-06-23 17:14:07 +0000, 788.000000, 89036.000000, 10, 0 
2017-06-23 17:14:08 +0000, 745.000000, 89781.000000, 10, 0 
2017-06-23 17:14:09 +0000, 726.000000, 90507.000000, 10, 0 
2017-06-23 17:14:10 +0000, 835.000000, 91342.000000, 10, 0 
2017-06-23 17:14:10 +0000, 825.000000, 92167.000000, 10, 0 
2017-06-23 17:14:11 +0000, 890.000000, 93057.000000, 10, 0 
2017-06-23 17:14:12 +0000, 887.000000, 93944.000000, 10, 0 
2017-06-23 17:14:13 +0000, 926.000000, 94870.000000, 10, 0 
2017-06-23 17:14:14 +0000, 963.000000, 95833.000000, 10, 0 
2017-06-23 17:14:15 +0000, 896.000000, 96729.000000, 11, 0 
2017-06-23 17:14:16 +0000, 963.000000, 97692.000000, 11, 0 
2017-06-23 17:14:17 +0000, 914.000000, 98606.000000, 11, 0 
2017-06-23 17:14:17 +0000, 854.000000, 99460.000000, 11, 0 
2017-06-23 17:14:18 +0000, 750.000000, 100210.000000, 11, 0 
2017-06-23 17:14:19 +0000, 715.000000, 100925.000000, 11, 0 
2017-06-23 17:14:20 +0000, 742.000000, 101667.000000, 11, 0 
2017-06-23 17:14:20 +0000, 824.000000, 102491.000000, 11, 0 
2017-06-23 17:14:21 +0000, 847.000000, 103338.000000, 11, 0 
2017-06-23 17:14:22 +0000, 856.000000, 104194.000000, 11, 0 
2017-06-23 17:14:23 +0000, 920.000000, 105114.000000, 11, 0 
2017-06-23 17:14:26 +0000, 918.000000, 106032.000000, 12, 0 
2017-06-23 17:14:26 +0000, 1000.000000, 107032.000000, 12, 0 
2017-06-23 17:14:26 +0000, 969.000000, 108001.000000, 12, 0 
2017-06-23 17:14:27 +0000, 954.000000, 108955.000000, 12, 0 
2017-06-23 17:14:28 +0000, 959.000000, 109914.000000, 12, 0 
2017-06-23 17:14:29 +0000, 930.000000, 110844.000000, 12, 0 
2017-06-23 17:14:29 +0000, 880.000000, 111724.000000, 12, 0 
2017-06-23 17:14:30 +0000, 779.000000, 112503.000000, 12, 0 
2017-06-23 17:14:31 +0000, 721.000000, 113224.000000, 12, 0 
2017-06-23 17:14:34 +0000, 742.000000, 113966.000000, 12, 0 
2017-06-23 17:14:34 +0000, 836.000000, 114802.000000, 12, 0 
2017-06-23 17:14:34 +0000, 884.000000, 115686.000000, 12, 0 
2017-06-23 17:14:34 +0000, 910.000000, 116596.000000, 12, 0 
2017-06-23 17:14:35 +0000, 953.000000, 117549.000000, 13, 0 
2017-06-23 17:14:36 +0000, 1005.000000, 118554.000000, 13, 0 
2017-06-23 17:14:37 +0000, 996.000000, 119550.000000, 13, 0 
2017-06-23 17:14:38 +0000, 1003.000000, 120553.000000, 13, 0 
2017-06-23 17:14:39 +0000, 977.000000, 121530.000000, 13, 0 
2017-06-23 17:14:40 +0000, 949.000000, 122479.000000, 13, 0 
2017-06-23 17:14:41 +0000, 813.000000, 123292.000000, 13, 0 
2017-06-23 17:14:41 +0000, 735.000000, 124027.000000, 13, 0 
2017-06-23 17:14:42 +0000, 715.000000, 124742.000000, 13, 0 
2017-06-23 17:14:43 +0000, 729.000000, 125471.000000, 13, 0 
2017-06-23 17:14:44 +0000, 713.000000, 126184.000000, 13, 0 
2017-06-23 17:14:44 +0000, 814.000000, 126998.000000, 13, 0 
2017-06-23 17:14:45 +0000, 826.000000, 127824.000000, 14, 0 
2017-06-23 17:14:46 +0000, 840.000000, 128664.000000, 14, 0 
2017-06-23 17:14:47 +0000, 840.000000, 129504.000000, 14, 0 
2017-06-23 17:14:48 +0000, 852.000000, 130356.000000, 14, 0 
2017-06-23 17:14:49 +0000, 861.000000, 131217.000000, 14, 0 
2017-06-23 17:14:49 +0000, 880.000000, 132097.000000, 14, 0 
2017-06-23 17:14:50 +0000, 865.000000, 132962.000000, 14, 0 
2017-06-23 17:14:51 +0000, 868.000000, 133830.000000, 14, 0 
2017-06-23 17:14:52 +0000, 862.000000, 134692.000000, 14, 0 
2017-06-23 17:14:53 +0000, 836.000000, 135528.000000, 14, 0 
2017-06-23 17:14:54 +0000, 815.000000, 136343.000000, 14, 0 
2017-06-23 17:14:54 +0000, 805.000000, 137148.000000, 14, 0 
2017-06-23 17:14:55 +0000, 809.000000, 137957.000000, 15, 0 
2017-06-23 17:14:56 +0000, 555.000000, 138512.000000, 15, 0 
2017-06-23 17:14:57 +0000, 868.000000, 139380.000000, 15, 0 
2017-06-23 17:14:58 +0000, 920.000000, 140300.000000, 15, 0 
2017-06-23 17:14:59 +0000, 915.000000, 141215.000000, 15, 0 
2017-06-23 17:15:00 +0000, 949.000000, 142164.000000, 15, 0 
2017-06-23 17:15:00 +0000, 911.000000, 143075.000000, 15, 0 
2017-06-23 17:15:01 +0000, 958.000000, 144033.000000, 15, 0 
2017-06-23 17:15:02 +0000, 944.000000, 144977.000000, 15, 0 
2017-06-23 17:15:05 +0000, 877.000000, 145854.000000, 16, 0 
2017-06-23 17:15:05 +0000, 666.000000, 146520.000000, 16, 0 
2017-06-23 17:15:05 +0000, 795.000000, 147315.000000, 16, 0 
2017-06-23 17:15:07 +0000, 817.000000, 148132.000000, 16, 0 
2017-06-23 17:15:07 +0000, 877.000000, 149009.000000, 16, 0 
2017-06-23 17:15:07 +0000, 888.000000, 149897.000000, 16, 0 
2017-06-23 17:15:09 +0000, 971.000000, 150868.000000, 16, 0 
2017-06-23 17:15:09 +0000, 958.000000, 151826.000000, 16, 0 
2017-06-23 17:15:10 +0000, 846.000000, 152672.000000, 16, 0 
2017-06-23 17:15:11 +0000, 946.000000, 153618.000000, 16, 0 
2017-06-23 17:15:12 +0000, 937.000000, 154555.000000, 16, 0 
2017-06-23 17:15:13 +0000, 920.000000, 155475.000000, 16, 0 
2017-06-23 17:15:14 +0000, 882.000000, 156357.000000, 16, 0 
2017-06-23 17:15:14 +0000, 863.000000, 157220.000000, 16, 0 
2017-06-23 17:15:15 +0000, 911.000000, 158131.000000, 17, 0 
2017-06-23 17:15:16 +0000, 956.000000, 159087.000000, 17, 0 
2017-06-23 17:15:17 +0000, 953.000000, 160040.000000, 17, 0 
2017-06-23 17:15:18 +0000, 957.000000, 160997.000000, 17, 0 
2017-06-23 17:15:19 +0000, 1033.000000, 162030.000000, 17, 0 
2017-06-23 17:15:20 +0000, 982.000000, 163012.000000, 17, 0 
2017-06-23 17:15:21 +0000, 944.000000, 163956.000000, 17, 0 
2017-06-23 17:15:22 +0000, 951.000000, 164907.000000, 17, 0 
2017-06-23 17:15:23 +0000, 1008.000000, 165915.000000, 17, 0 
2017-06-23 17:15:24 +0000, 960.000000, 166875.000000, 17, 0 
2017-06-23 17:15:25 +0000, 964.000000, 167839.000000, 18, 0 
